"value","group"
-1.09615624155886,"分布A"
0.0490504509375971,"分布A"
-1.19849585655778,"分布A"
0.190018998559748,"分布A"
1.29770589960467,"分布A"
-1.03387372296475,"分布A"
-0.738440754213064,"分布A"
0.0465639394508634,"分布A"
-1.01759611982611,"分布A"
-0.383283959886278,"分布A"
0.872755411671398,"分布A"
0.969545013970117,"分布A"
0.383846665027094,"分布A"
-1.85155566306746,"分布A"
-0.0539967368261657,"分布A"
1.06477321433828,"分布A"
0.813195037411605,"分布A"
-0.190816474104282,"分布A"
-2.6999298085637,"分布A"
0.0609666388011166,"分布A"
0.573751697483578,"分布A"
0.0458035797250989,"分布A"
0.157412540175875,"分布A"
0.431565372868771,"分布A"
-0.396549736050212,"分布A"
1.30997822575155,"分布A"
0.470393399873943,"分布A"
-1.2426702705746,"分布A"
1.38157545638553,"分布A"
1.20445893700982,"分布A"
0.824073963681881,"分布A"
-1.66262940218559,"分布A"
-0.569306343605481,"分布A"
0.635513817289526,"分布A"
0.0437220075778579,"分布A"
0.348012303661307,"分布A"
2.45959354887041,"分布A"
-0.818380324399669,"分布A"
-2.11320011492914,"分布A"
0.273695272430415,"分布A"
-0.687596841243412,"分布A"
0.446041052961866,"分布A"
-0.812384723790597,"分布A"
2.21205548033514,"分布A"
-0.12370597157743,"分布A"
-0.477335506030052,"分布A"
-0.166261491486608,"分布A"
0.862563383626431,"分布A"
0.0973404852028189,"分布A"
-1.62561673921129,"分布A"
-0.0046207678264578,"分布A"
0.760242167662055,"分布A"
0.0389909128725626,"分布A"
0.735072141614441,"分布A"
-0.14647262699887,"分布A"
-0.0578873353812826,"分布A"
0.482369466104533,"分布A"
0.992943636775734,"分布A"
-1.24639549803204,"分布A"
-0.0334875248456097,"分布A"
-0.0709621812499963,"分布A"
-0.75892065373095,"分布A"
-1.03435936093915,"分布A"
-0.630731953970819,"分布A"
0.586807720012995,"分布A"
-0.416322656183652,"分布A"
-0.784887809505321,"分布A"
0.163416319486097,"分布A"
-1.23671423510935,"分布A"
1.04587377623667,"分布A"
-0.484595416218709,"分布A"
0.189128811680665,"分布A"
0.0510063315749732,"分布A"
-0.000240668886441977,"分布A"
1.80938204244287,"分布A"
-0.825327957109945,"分布A"
1.14547045222799,"分布A"
0.0315731875532431,"分布A"
-0.83520580530672,"分布A"
-0.0687636490165125,"分布A"
0.746771687012467,"分布A"
-0.425518734394604,"分布A"
-0.772082235193457,"分布A"
0.152764106747895,"分布A"
0.988596845178799,"分布A"
-0.073458334672174,"分布A"
-1.38702655355974,"分布A"
-1.30667590437536,"分布A"
-0.768395325077939,"分布A"
-0.527108125374458,"分布A"
-0.0214270650416246,"分布A"
0.670498070996282,"分布A"
-0.434617038572407,"分布A"
-1.11387978331285,"分布A"
0.6071059948785,"分布A"
0.275456968739591,"分布A"
1.15734706941474,"分布A"
-1.68248085947826,"分布A"
0.0873190888948744,"分布A"
1.35336189394267,"分布A"
3.08626070102505,"分布B"
0.751170761353683,"分布B"
3.09879273015262,"分布B"
0.692109695004181,"分布B"
1.31990373315531,"分布B"
3.78130141794362,"分布B"
1.56478203231488,"分布B"
3.24281921744815,"分布B"
1.56315843683125,"分布B"
-0.364543607121859,"分布B"
0.726776454576617,"分布B"
0.367220207064207,"分布B"
1.27356414332424,"分布B"
1.49553318648564,"分布B"
1.76996316400753,"分布B"
1.63512915713773,"分布B"
4.83830306240017,"分布B"
-0.0789975059281294,"分布B"
1.37776354893833,"分布B"
2.52362229216025,"分布B"
4.44266339872311,"分布B"
2.13278284357042,"分布B"
3.85872606260084,"分布B"
-0.46683330363056,"分布B"
4.16953478806772,"分布B"
