"group","value"
"A组",12.401930751197
"A组",12.0895021743355
"A组",7.9935827063203
"A组",13.6969638033455
"A组",8.66645318248437
"A组",10.2110276249121
"A组",9.15548823626229
"A组",9.75529965609006
"A组",10.376386069003
"A组",10.238321915994
"A组",9.94981489826519
"A组",10.2161454558841
"A组",9.02912952830667
"A组",8.99156573862419
"A组",6.67780184017038
"A组",9.23533254625236
"A组",8.9746994842444
"A组",15.4037820006896
"A组",7.27576753762056
"A组",10.2745124371172
"B组",7.51912479805113
"B组",7.58869277568961
"B组",12.374107158591
"B组",9.01008259534789
"B组",11.9945321570859
"B组",10.7152233557226
"B组",10.1589851806515
"B组",5.92596646374268
"B组",8.32575614892004
"B组",12.5385493233538
"B组",13.7028617832706
"B组",10.5213679393396
"B组",12.0001886521961
"B组",15.3686689301399
"B组",16.3195672289286
"B组",8.70865869478254
"B组",11.6480413192495
"B组",15.6044952027591
"B组",10.5908112583011
"B组",11.842591545183
"C组",7.87083905264437
"C组",6.66848147314035
"C组",7.33297399267289
"C组",7.95583268136764
"C组",7.37919672641311
"C组",9.67007903505231
"C组",7.27851073751903
"C组",7.35024645109891
"C组",9.04529386482815
"C组",6.41544738024364
"C组",7.93895228727318
"C组",5.67268276647862
"C组",9.75075432385352
"C组",7.58953144793888
"C组",7.29823201299162
"C组",6.14262150802068
"C组",7.98835694933401
"C组",6.79957673307251
"C组",7.19976150507435
"C组",9.93151286837688
