"group","value"
"处理A",4.82447412975787
"处理A",3.92821761584932
"处理A",5.16320688246738
"处理A",4.63726158437205
"处理A",5.59001354798734
"处理A",6.43242192773099
"处理A",4.00730748889051
"处理A",5.45465029758028
"处理A",5.08489805867849
"处理A",5.89556558226454
"处理A",4.77022186105373
"处理A",5.83661906846061
"处理A",3.25494413866331
"处理A",6.68945892131337
"处理A",5.86477797851858
"处理A",4.84922401111425
"处理A",3.55099286986083
"处理A",5.64300870004198
"处理A",5.48319386381477
"处理A",4.99364437357861
"处理A",5.15145589286242
"处理A",4.4158910296502
"处理A",5.36880673263024
"处理A",5.29465433971952
"处理A",4.72074062665742
"处理A",3.66376334510685
"处理A",5.70074881844003
"处理A",5.55419662227403
"处理A",4.16369340719858
"处理A",3.40541183799376
"处理B",7.40991716117527
"处理B",6.30982404405422
"处理B",7.50522340672891
"处理B",4.41199506903089
"处理B",5.08165911123927
"处理B",9.1715497073598
"处理B",7.80754980943143
"处理B",8.1729750734386
"处理B",10.6304568923079
"处理B",7.25764285720477
"处理B",2.99814152453698
"处理B",7.66755439486714
"处理B",9.34265025471759
"处理B",11.1190784845986
"处理B",4.24627680351896
"处理B",4.69828886874579
"处理B",5.58835721047976
"处理B",4.89188843584562
"处理B",5.70851255371502
"处理B",6.62924406464699
"处理B",4.59755589852003
"处理B",11.0739443339663
"处理B",7.21554948977109
"处理B",6.83178379898884
"处理B",7.99123928320919
"处理B",7.07483037223593
"处理B",6.73582392608818
"处理B",9.95357484710419
"处理B",6.56593957981579
"处理B",4.43279559181555
"处理C",4.1928339452217
"处理C",3.82424356323545
"处理C",3.73910195332187
"处理C",3.46593439965641
"处理C",4.21418295163335
"处理C",3.9129908827865
"处理C",4.25783386432401
"处理C",3.88281736134704
"处理C",3.67074828708911
"处理C",4.62511830203936
"处理C",3.8641181424443
"处理C",4.4739759979376
"处理C",3.39920878494553
"处理C",3.76694195181225
"处理C",3.86532430242341
"处理C",7.80451729593457
"处理C",8.67435350599586
"处理C",7.98861764935079
"处理C",8.12211292555173
"处理C",7.52881414606804
"处理C",7.63539136174521
"处理C",8.49903445427742
"处理C",8.62924083229778
"处理C",8.62443184440505
"处理C",7.30968147523734
"处理C",9.0249803468182
"处理C",8.50843641489977
"处理C",7.98664126793087
"处理C",8.35180388939913
"处理C",7.51430738542407
