"group","value"
"对照",50.5104620187365
"对照",50.8006641413989
"对照",46.7390416875127
"对照",43.386746147053
"对照",34.0744811152905
"对照",42.5284991305827
"对照",41.3767769077022
"对照",50.3058331561583
"低剂量",75.086295367487
"低剂量",67.010403098945
"低剂量",50.7171146480263
"低剂量",78.7099730539817
"低剂量",72.1035303245212
"低剂量",64.2352121587446
"低剂量",39.9351540679038
"低剂量",52.4541438144684
"高剂量",54.3828423951079
"高剂量",61.8517531140874
"高剂量",44.3808622003754
"高剂量",83.9007906109056
"高剂量",32.0155763414426
"高剂量",52.8765944559934
"高剂量",52.6639362106471
"高剂量",49.0296977504273
